,Date,Open,High,Low,Close,Adj Close,Volume
df_9,2004-06-03,1124.989990234375,1142.1800537109375,1116.5699462890625,1131.3299560546875,1131.3299560546875,6026600000
df_9,2004-06-10,1131.3299560546875,1137.3599853515625,1122.1600341796875,1133.56005859375,1133.56005859375,4854300000
df_9,2004-06-17,1133.56005859375,1145.1500244140625,1124.3699951171875,1144.06005859375,1144.06005859375,6747700000
df_9,2004-06-24,1144.06005859375,1146.3399658203125,1131.719970703125,1140.8399658203125,1140.8399658203125,7411200000
df_9,2004-07-01,1140.8399658203125,1140.8399658203125,1113.2099609375,1118.3299560546875,1118.3299560546875,5192600000
df_9,2004-07-08,1118.3299560546875,1119.5999755859375,1106.7099609375,1111.469970703125,1111.469970703125,6363700000
df_9,2004-07-15,1111.469970703125,1116.27001953125,1093.8800048828125,1093.8800048828125,1093.8800048828125,7304200000
df_9,2004-07-22,1093.8800048828125,1099.6600341796875,1078.780029296875,1095.4200439453125,1095.4200439453125,7596800000
df_9,2004-07-29,1095.4200439453125,1108.5999755859375,1092.4000244140625,1098.6300048828125,1098.6300048828125,6811800000
df_9,2004-08-05,1098.6300048828125,1098.7900390625,1062.22998046875,1075.7900390625,1075.7900390625,6660400000
df_9,2004-08-12,1075.7900390625,1095.1700439453125,1060.719970703125,1095.1700439453125,1095.1700439453125,6336700000
df_9,2004-08-19,1095.1700439453125,1106.2900390625,1086.280029296875,1104.9599609375,1104.9599609375,5755900000
df_9,2004-08-26,1104.9599609375,1109.6800537109375,1094.719970703125,1105.9100341796875,1105.9100341796875,4992400000
df_9,2004-09-02,1105.9100341796875,1124.0799560546875,1105.5999755859375,1116.27001953125,1116.27001953125,4503270000
df_9,2004-09-09,1116.27001953125,1129.780029296875,1113.6199951171875,1120.3699951171875,1120.3699951171875,6392800000
df_9,2004-09-16,1120.3699951171875,1131.5400390625,1112.6700439453125,1113.56005859375,1113.56005859375,6439000000
df_9,2004-09-23,1113.56005859375,1114.800048828125,1101.2900390625,1114.800048828125,1114.800048828125,6604700000
df_9,2004-09-30,1114.800048828125,1142.050048828125,1109.6800537109375,1142.050048828125,1142.050048828125,7699300000
df_9,2004-10-07,1142.050048828125,1142.050048828125,1109.6300048828125,1113.6500244140625,1113.6500244140625,6549200000
df_9,2004-10-14,1113.6500244140625,1117.9599609375,1094.25,1103.6600341796875,1103.6600341796875,7931100000
df_9,2004-10-21,1103.6600341796875,1126.2900390625,1090.2900390625,1125.4000244140625,1125.4000244140625,7950400000
df_9,2004-10-28,1125.3399658203125,1147.5699462890625,1120.5999755859375,1143.199951171875,1143.199951171875,7951400000
df_9,2004-11-04,1143.199951171875,1170.8699951171875,1142.3399658203125,1162.9100341796875,1162.9100341796875,7820900000
df_9,2004-11-11,1162.9100341796875,1188.4599609375,1162.9100341796875,1181.93994140625,1181.93994140625,7426500000
df_9,2004-11-18,1181.93994140625,1184.9000244140625,1167.8900146484375,1181.760009765625,1181.760009765625,6953900000
df_9,2004-11-25,1181.760009765625,1191.3699951171875,1172.3699951171875,1191.3699951171875,1191.3699951171875,5209380000
df_9,2004-12-02,1191.3699951171875,1197.4599609375,1177.0699462890625,1182.81005859375,1182.81005859375,7755100000
df_9,2004-12-09,1182.81005859375,1206.6099853515625,1173.7900390625,1205.719970703125,1205.719970703125,7744700000
df_9,2004-12-16,1205.719970703125,1211.4200439453125,1193.3599853515625,1209.5699462890625,1209.5699462890625,8426200000
df_9,2004-12-23,1209.5699462890625,1214.1300048828125,1204.9200439453125,1213.449951171875,1213.449951171875,3787000000
df_9,2004-12-30,1213.449951171875,1217.3299560546875,1211.6500244140625,1211.9200439453125,1211.9200439453125,1616700000
df_10,2008-01-01,1467.969970703125,1471.77001953125,1403.449951171875,1416.1800537109375,1416.1800537109375,15269410000
df_10,2008-01-08,1415.7099609375,1430.280029296875,1378.699951171875,1416.25,1416.25,23404840000
df_10,2008-01-15,1411.8800048828125,1411.8800048828125,1312.510009765625,1325.18994140625,1325.18994140625,21350230000
df_10,2008-01-22,1312.93994140625,1368.56005859375,1270.050048828125,1353.9599609375,1353.9599609375,24504850000
df_10,2008-01-29,1355.93994140625,1396.02001953125,1334.0799560546875,1380.8199462890625,1380.8199462890625,22092560000
df_10,2008-02-05,1380.280029296875,1380.280029296875,1316.75,1339.1300048828125,1339.1300048828125,20274650000
